English,FrenchTranslations
lowest temperature,température minimale
loyal/faithful,fidèle
luggage,bagages
lunch,déjeuner
lunch break,heure du déjeuner
luxurious,de luxe
mad/crazy,fou/folle
made of cotton,en coton
made of linen,en lin
made of silk,en soire
made of velvet,en velours
magazine,magazine/revue
magnificent,magnifique
main course,plat principal
make/brand,marque
makeup,maquillage
malnourished,mal nourri
man,homme
manager,gérant/gérante/directeur/directrice
map (of a country/road map),carte
map of the town,plan de la ville
March,mars
margarine,margarine
mark/grade,note
market,marché
marketing,marketing
marriage ceremony/wedding,noces
marriage/wedding,mariage
married,marié
martial arts,arts martiaux
marvellous,merveilleux/merveilleuse
Massif Central,le Massif Central
maths,mathématiques/maths
mature,mûr
May,mai
meal,repas
mean/nasty,méchant
means of transport,moyen de transport
meat,viande
meatball,boulette
mechanic,mécanicien/mécanicienne
media studies,étude des medias
medicine (study of the subject),médicine
medium (size),de taille moyenne
medium (steak),à point
meet you at 6 o’clock,rendez-vous à six heures
meeting,réunion
meeting/discussion,réunion
melody/tune,mélodie
melon,melon
member of the family,membre de la famille
memory card,carte mémoire
menu,carte
message,message
metre,mètre 
midday,midi
midnight ,minuit
milk,lait
millionth,millionième
mince,viande hâchée
mineral water,eau minérale
minute,minute
Miss,mademoiselle
mist,brume
mistake,erreur
mistake/fault,faute
misty,brumeux
mixed,mixte/mélangé
mobile phone,portable
model,mannequin
modern,moderne
modern languages,langues vivantes
moment,instant/moment
Monday,lundi
money,argent
month,mois
monument,monument
mood,humeur
moped,mobylette
more,plus de
morning,matin
morning (the whole morning),matinée
mosque,mosquée
mother,mère
mothers’ day,fête des mères
motorbike,moto
motorway,autoroute
motorway junction,intersection
motorway services,aire de repos
mountain,montagne
mountain bike,VTT/vélo tout terrain
mountaineering,alpinisme
mouse,souris
moustache,moustache
mouth,bouche
MP3 player,mp3
Mr (also Sir),monsieur
Mrs (also Madam),madame
multicultural,multiculturel
mum,maman
museum,musée
mushroom,champignon
music,musique
music festival,festival de musique
musical comedy (a musical),comédie musicale
musician,musicien/musicienne
mustard,moutarde
myself,moi-même
napkin,serviette
natural resources,ressources naturelles
naughty,méchant/vilain
near to,près de/proche de
necessary,nécessaire
necklace,collier
negative,négatif/négative
neighbour,voisin/voisine
nephew,neveu
Netherlands ,Pays-Bas
never,jamais
new,nouveau/nouvel/nouvelle
new (brand new),neuf/neuve
New Year,Nouvel An
news,actualités/informations/infos
newspaper stall,kiosque à journaux
next,prochain
next to,à côté de/à proximité de
nice (weather),beau
nice/kind,gentil/le
nice/likeable,sympa
nice/likeable,sympa/sympathique/aimable
nickname,surnom
niece,nièce
night,nuit
nightclub,boîte de nuit
nightdress,chemise de nuit
nine o’clock in the evening,neuf heures du soir
nineteenth,dix-neuvième
nineth,neuvième
ninetieth,quatre-vingt-dizième
no entry (when driving),sens interdit
no parking,stationnement interdit
no thank you,non merci
noise,bruit
noisy,bruyant
noodles,nouilles
normal,normal/normale
north,nord
North America,Amérique du Nord
not yet,pas encore
November,novembre
now,maintenant
nowhere,nulle part/nul part
number,nombre
number (e.g. phone number),numéro
numerous,nombreux/nombreuse
nurse,infirmier/infirmière
occupied/taken,occupé
October,octobre
of course,bien sûr
office,bureau
often,souvent
oil,pétrole/huile
okay (in agreement),d’accord
old,vieux/vieil/vieille
old (former),ancien/ancienne
old fashioned,démodé
old fashioned (vintage/retro style),rétro
old people’s home,maison de retraite
older,plus âgé/plus âgée
oldest (brother/sister),aîné/aînée
Olympic games,Jeux olympiques
omelette,omelette
on (on top of),sur
on foot,à pied
on Monday evening,lundi soir
on Monday morning,lundi matin
on Mondays,le lundi
on the left,à gauche
on the line/speaking,à l’appareil
on the right,à droite
on time,à l’heure
once,une fois
once again,encore une fois
one way street,sens interdit/unique
onion,oignon
online,en ligne
only child,fils unique/fille unique
open,ouvert
opposite,en face de
optimistic,optimiste
optional (subject),facultatif/facultative
or,ou
oral,oral/orale
orange,orange
orchestra,orchestre
original version,version originale
other,autre
outing/trip,excursion
outside,dehors/à l'extérieur/en dehors/extérieur
outside/in the open air,en plein air
over there,là-bas/là bas/par là
overcast,couvert
own,propre
package holiday,voyage organisé
packet,paquet
pad of paper,bloc-notes
page,page
Pakistan,Pakistan
Pakistani,pakistanais
palace,palais
pale,pâle
pants/briefs,culotte/slip
parachuting,parachutage
paragliding,parapente
Pardon?,pardon?
parents,parents/parente
parents’ evening,rencontre parents-professeurs
park,jardin public/parc
park/green space,espace vert
part time,mi-temps
party,fête/surprise-partie
passenger,passager/passagère
passport,passeport
passport control,contrôle des passeports
password,mot de passe
pasta,pâtes
pastries,pâtisseries
pâté,pâté
payment method,mode de paiement
PE,éducation physique/EPS
peaceful,tranquille/calme
peach,pêche
pear,poire
peas,petits pois
pedestrian,piéton
pedestrian area,zone piétonne
pedestrian crossing,passage piéton
pen/ballpoint pen,stylo
pencil,crayon
pencil case,trousse
penfriend,correspondant/correspondante
pensioner/senior citizen,retraité
people,gens
pepper,poivre
pepper (vegetable),poivron
per hour,à l’heure
perfect,parfait
perfume,parfum
perhaps,peut-être
permission,autorisation
person,personne
personal and social education (PSE),instruction civique
personally,personnellement
pessimistic,pessimiste
pet,animal domestique
petanque (outdoor game similar to bowls),pétanqu/boules
petrol,essence
pharmacist,pharmacien/pharmacienne
physics,physique
physics and chemistry,sciences physiques
piano,piano
picture,image
picturesque,pittoresque
piece of bread (with butter/jam often for breakfast),tartine
pillow,oreiller
pineapple,ananas
pink,rose
pistachio,pistache
pitch (for tent),emplacement
pizza,pizza
pizzeria/pizza restaurant,pizzeria
place,endroit/lieu
place of residence,domicile
place setting,couvert
plain/solid,uni
plan/project,projet
plane,avion
planet,planète
planned,prévu
plate,assiette
platform,quai
play (theatre),pièce de théâtre
player,joueur/joueuse
playground,cour de récréation/terrain/aire de jeux
pleasant (person),aimable
pleasant (thing),agréable
please (informal),s’il te plaît
please (polite),s’il vous plaît
please repeat that (formal),répétez s’il vous plaît
pleased,content
pleasure/amusement,plaisir
plum,prune
plumber,plombier
pocket money,argent de poche
poet,poète
police officer,agent de police/policier
police station,commissariat/gendarmerie
policeman,policier/agent de police/gendarme
pollution,pollution
poloshirt,polo
pop music,musique pop
popular,populaire
pork,porc
pork chop,côtelette de porc
port,port
portion,portion
positive,positif/positive
post office,poste
postcard,carte postale
postcode,code postal
poster/notice,affiche
pot of coffee,cafetière
potato,pomme de terre
poverty,pauvreté
practical,pratique
prepared food/ready meal,plat cuisiné
present (in school),présent
present/gift,cadeau
pressure,pression
pretentious,prétentieux/prétentieuse
pretty,joli
price list,liste des prix/tarif
priest,prêtre/curé
primary school,école primaire
printer,imprimante
priority,priorité
private school,école privée
problem,problème
procession,défilé
profession/job/occupation,métier
programmer,programmeur
progress,progrès
progress/improvement,progrès
projector,projecteur
promotion prospects,possibilités d’avancement
pronunciation,prononciation
protection,protection
province,province
public holiday,jour férié/jour de fête
public transport,transports en commun
public/municipal,publique/municipal
pupil,élève
purse,portemonnaie
pyjamas,pyjama
qualification,diplôme
qualified,qualifié/diplômé
quantity,quantité
quarter,quart 
quarter past seven,sept heures et quart/sept heures et quinze
quarter to six,six heures moins le quart/six heures moins quinze minutes
question,question
quickly,vite/rapidement
quiet,tranquille/calme
quite a few,pas mal de
quiz show,jeu télévisé
rabbit,lapin
race/racing,course
racist,raciste
radish,radis
railway,chemin de fer
rain,pluie
rainforest,forêt tropicale
rainy,pluvieux
rap,rap
rare (steak),saignant
rarely,rarement
raspberry,framboise
rather,plutôt
raw,cru
raw vegetables starter,crudités
reading,lecture
ready,prêt
real,réel/réelle
really,vraiment
reasonable,raisonnable
receipt,reçu
recent,récent
recently,récemment
reception,réception/accueil
receptionist,réceptionniste
recognised/well known,reconnu
recorder (instrument),flute à bec
recycling,recyclage
red,rouge
reduction,reduction/réduction
referee,arbitre
region,région
registration/booking in,enregistrement
relationship,rapports
relative/relation,parent
reliable,fiable
religion,religion
religion/Religious Studies,religion
remote control,télécommande
rent/rental,loyer
rented holiday cottage,gîte
rep/sales representative,représentant
repair,réparation
replacement (part),produit de remplacement/pièce de remplacement
report,bulletin scolaire
reservation,réservatiion
responsible,responsable
rest day/day off,journée de repos
restaurant,restaurant
result,résultat
return ticket,billet aller-retour/billet de retour
rice,riz
rich,riche
ridiculous,ridicule
riding,équitation
rights of man/peoples’ rights,droits de l’homme
ring,bague
ripe,mûr
risk,risque
river,rivière/fleuve
road,route
road map,carte routière
road/street,rue
roast,rôti
rock music,rock
role model,modèle
roll (bread),petit pain
roller blading,roller
romantic,romantique
romantic film/love film,film romantique
rotten,pourri
roundabout (in road),rond-point
rowing,aviron
rubber,gomme
rubbish,ordures
rugby,rugby
rule,règle
ruler,règle
run over (traffic accident),écraser
rush hour,heures de pointe
Russia ,Russie
Russian,russe
sad,triste
safe,sauf/sauve
sailing,voile
sailing boat,voilier
salad dressing,sauce vinaigrette
salary,salaire/paie
salmon,saumon
salt,sel
salt water,eau salée
salty/savoury,salé
same,même
sandwich,sandwich
satellite TV,télévision satellite
satisfied,satisfait
Saturday,samedi
saucer,soucoupe
sausage,saucisse
savings bank,caisse d’épargne
saxophone,saxophone
scarf,écharpe
school bag,cartable
school book,livre d’école
school bus,car de ramassage
school day,journée scolaire
school education,éducation
school group/party,groupe scolaire
school hall,hall de l’école
school holidays,vacances scolaires
school keeper/caretaker,concierge
school leaving certificate,certificat de fin d’études
school report/certificate,bulletin scolaire
school trip,excursion scolaire
school year,année scolaire
science fiction film,film de science-fiction
sciences,sciences
scissors,ciseaux
Scotland ,Écosse
Scottish,écossais
scrambled egg,oeufs brouillés
screen,écran
scuba diving,plongée sous-marine
sea,mer
sea food,fruits de mer
seaside resort,station balnéaire
season,saison
seat belt,ceinture de sécurité
second,deuxième
secondary school,collège/d’enseignement secondaire
security,sécurité
see you later,à tout à l’heure/à plus tard
see you on Friday,à vendredi
see you soon,à bientôt
see you tomorrow,à demain
self- confident,sûr de soi
self-confident,confiant
selfish,égoïste
self-service,self-service/self
semester,semestre
semi-detached house,maison jumelée
semi-skimmed milk,lait demi-écrémé
Senegal,Sénégal
sensational,sensationnel/sensationnelle/sensass
sense of humour,sens de l’humour
sensitive,sensible
sent by,envoi de
separated,séparé
September,septembre
series,série
serious,sérieux/sérieuse/grave
serious (hardworking),sérieux/sérieuse
service,service
seventeenth, dix-septième
seventh,septième
seventieth,soixante-dixième
several,plusieurs
sewing/tailoring,couture
sexist,sexiste
sharpener,taille-crayons
sheet,drap
ship,navire
shirt,chemise
shoe,chaussure
shoe shop,magasin de chaussures
shoe size,pointure
shop,magasin
shop window,vitrine
shopping centre,centre commercial
short,court
shorts,short
show,spectacle
show (theatre etc.)/TV show,spectacle/émission
shower,douche
shower block (e.g.on campsite),bloc sanitaire
showers,averses
shy,timide
sign,panneau
signature,signature
silent,silencieux/silencieuse
silly,bête
similar,similaire
since,puisque/depuis
singer,chanteur/chanteuse
single,célibataire
single parent,mère/père célibataire
single person/single,célibataire
single room,chambre pour une personne
single ticket,aller simple
sister,soeur
sister-in-law,belle-soeur
sitcom,comédie de situation
situated,situé
situation wanted,demande d’emploi
sixteenth,seizième
sixth,sixième
sixth form,lycée
sixtieth,soixantième
size,taille
size (general),taille
skate boarding,skate
ski resort,station de ski
skiing,ski
skills,compétences
skirt,jupe
sky,ciel
sleeping bag,sac de couchage
sleeping car (in a train),wagon-lit
slice,tranche
slim,mince
slipper,pantoufle
slippers,pantoufles
small,petit
small/short (person),petit
smart,chic
smoked,fumé
snack,casse-croûte
snack bar,snack/snack-bar/casse-croûte
snack bar/buffet (on a train),buffet
snails,escargots
snow,neige
so,donc/alors
so much the better,tant mieux
so so,comme ci comme ça
soap,savon
soap (opera),feuilleton
social network,réseau social
society/company,société
sociology,sociologie
sock,chaussette
sofa/settee,sofa
software,logiciel
solar power,énergie solaire
some,quelques
some more,encore de/un peu plus
someone,quelqu’un
something,quelque chose
sometimes,quelquefois
somewhere,quelque part
son,fils
song,chanson
son-in-law/daughter-in-law,beau-fils/belle-fille
soon,bientôt
sorry,désolé
sound and light (show),spectacle son et lumière
soup,soupe/potage
south,sud
South America,Amérique du Sud
souvenir,souvenir
spacious,spacieux/spacieuse
Spain ,Espagne
Spanish,espagnol
speciality,spécialité
species,espèces
speed,vitesse
speed limit,limitation de vitesse
spicy,épicé
spinach,épinards
spoilt,gâté
spoon,cuillère
sport,sport
sports centre,centre sportif
sports equipment,articles de sport
sports event,rencontre sportive
sports field,terrain de sport
sports ground,terrain de sport
sports hall/gym,salle de sports/gymnase
sports kit,tenue de sport
sports shirt,maillot de sport
sporty,sportif/sportive
spot/pimple,bouton
spotted,à points
spy story,histoire d’espionnage
spying,espionnage
square (in town),place
squash,squash
stadium,stade
staff room,salle des profs
stage,scène
stairs/staircase,escalier
standing,debout
star,étoile
starter,hors d’oeuvre/entrée
starving,affamé
state,État
state school,école publique
station (railway),gare
stay on the line,ne quittez pas
steak,entrecôte/steak/bifteck
steamed (boiled),à la vapeur
stereo system/music centre,chaîne hi-fi
still,toujours
stop (bus/tram etc.),arrêt
storm,orage/tempête
stormy,orageux
straight (hair),raide
straight away,tout de suite/immédiatement
straw hat,chapeau de paille
strawberry,fraise
strict,sévère/strict
striped,rayé/e
strong,fort
strong/good at (subject),fort/forte/bon/bonne
stubborn,têtu
student,étudiant/étudiante
studies,études
study (room),bureau
study/home office,cabinet de travail/bureau
style,style
subject,matière
subtitles,sous-titres
suburb/outskirts of town,banlieue
success,succès/réussite
successful,réussi
sugar,sucre
suit,complet/costume
suitable for drinking,potable
suitcase,valise
summer camp,colonie de vacances
summer holidays,grandes vacances
sun,soleil
Sunday,dimanche
sunny,ensoleillé
superb,superbe
supermarket,supermarché
supervisor,surveillant/surveillante
supper,souper
supplement,supplément
supply teacher/cover teacher,remplaçant/remplaçante
surfing,surf
surname,nom de famille
surprised,surpris/étonné
surrounding area/vicinity,environs
survey,sondage
sweater/jumper,tricot/pullover
sweatshirt,sweat
sweet,bonbon
sweet (tasting),sucré/doux/douce
swimming,natation
swimming costume/trunks,maillot de bain
swimming pool,piscine
Swiss,suisse
Switzerland,Suisse
table,table
table cloth,nappe
table tennis,tennis de table/ping-pong
talkative,bavard
tart,tarte
tasty,goûteux/goûteuse/savoureux/savoureuse
tattoo,tatouage
taxi,taxi
tea,thé
tea room,salon de thé
tea spoon,petite cuiller/petite cuillère
tea time snack,goûter
teacher,professeur
teacher (primary),instituteur/institutrice
teaching/education (as a subject),enseignement
team,équipe
technician,technicien/technicienne
technology,technologie/EMT
tee shirt,t-shirt
telephone,téléphone
telephone call,coup de téléphone
telephone number,numéro de telephone
television set,téléviseur/poste de télévision
ten past four,quatre heures dix
ten to four,quatre heures moins dix
tennis,tennis
tennis court,court de tennis
tent,tente
tenth,dizième
term,trimestre
terms of employment,conditions de travail
terraced house,maison mitoyenne
test,contrôle
text message,texto/message texte/SMS
thank you very much,merci bien
that,ça/cela
that doesn’t interest/appeal to me,ça ne me dit rien
that’s enough,ça suffit/c'est assez
the Alps,les Alpes
the Channel Tunnel,le Tunnel/le Tunnel sous la Manche
the day after tomorrow,après-demain
the day before yesterday,avant-hier
the English Channel,la Manche
the Mediterranean sea,la Mediterranée
the next day/following day,lendemain/demain
the night before/eve,veille
the Pyrenees,les Pyrénées
the south of France,le Midi
the sun is shining,il fait du soleil/il y a du soleil
theatre,théâtre
theft/robbery,vol
then,alors/ensuite/puis
there,là
there is/there are,il y a
there you are,voilà
therefore,donc
thin/narrow,étroit
thin/slim,mince
thing,chose
third,troisième/tiers
thirteenth,treizième
thirtieth,trentième
thousandth,millième
through,par/à travers/au travers
Thursday,jeudi
thus,ainsi
ticket (tram/bus or metro ticket),billet/ticket
ticket inspector,contrôleur
ticket office,guichet
tidy,rangé
tidy/neat,rangé
tie,cravate
tight,serré
tights,collant
till/cash desk,caisse
time,heure
time (occasion),fois
timetable,emploi du temps/horaire
tip (money),pourboire
tired,fatigué
tiring,fatigant
to be about to,être sur le point de
to be in the process of,être en train de
tobacconist’s shop,bureau de tabac
today,aujourd’hui
together,ensemble
toilet paper,papier hygiénique
toilets,toilettes
toll,péage
tomato,tomate
tomorrow,demain
tone/beep,bip sonore
too,trop/aussi
too bad/what a shame,tant pis/quel dommage/quelle dommage
too much/too many,trop de
toothbrush,brosse à dents
toothpaste,dentifrice
tortoise,tortue
touch screen,écran tactile
tour,tour
tourist,touriste
tourist (adjective),touristique
tourist attraction,site touristique /attraction
tourist information office,office de tourisme
tournament,tournoi
towards,vers/envers
tower,tour
town,ville
town centre,centre-ville
town hall,mairie/hôtel de ville
toy,jouet
tracksuit,survêtement/jogging
traffic,circulation
traffic jam,embouteillage
traffic lights,feux
train,train
trainers,baskets
training,formation
training centre,centre de formation
tram,tramway
trampolining,trampoline
translation,traduction
travel agency,agence de voyage/agence de voyages
traveller,voyageur
tray,plateau
tropical fish,poisson tropical
trousers,pantalon
trout,truite
trumpet,trompette
Tuesday,mardi
tuna,thon
Tunisia,Tunisie
Tunisian,tunisien/tunisienne 
Turkey,Turquie
turkey,dinde
Turkish,turque
turn left,tourne à gauche/tournez à gauche
turn right,tourne à droite/tournez à droite
TV channel,chaîne
twelfth,douzième
twelfth night/Epiphany/6th January,fête des Rois
twentieth,vingtième
twenty-first,vingt et unièm
twenty-fourth,quarante-quatrième
twenty-second,vingt-deuxième
twenty-third,trente-troisième
twice,deux fois
twin,jumeau/jumelle
twin brothers,frères jumeaux
twin-bedded room,chambre à deux lits
type (kind of),genre/sorte
typical,typique
ugly,laid/moche
umbrella,parapluie
unbearable,insupportable
unbelievable,incroyable
uncle,oncle
under,sous/en vertu
underage,mineur/e
underground railway,métro
underground station,station de métro
underscore,soulignement
understanding,compréhensif/ve
unemployed,au chômage
unemployment,chômage
unfair,injuste
unfortunate/needy,malheureux/malheureuse
unfortunately,malheureusement
unhappy,malheureux/malheureuse
unhealthy,malsain
uniform,uniforme
United Kingdom ,Royaume-Uni
United States ,États-Unis
university,université/faculté/fac
unleaded petrol,essence sans plomb
unpleasant,désagréable
untidy,en désordre
until,jusqu’à
up there,là-haut/là-bas
useful,utile
useless,inutile
usually,d’habitude/normalement
valid,valable
valuable,d’une grande valeur
vanilla,vanille
veal,veau
vegetable,légume
vegetarian,végétarien/ne
vehicle,véhicule
very,très
view,vue
viewer/audience,spectateur/spectatrice
village,village
vinegar,vinaigre
violet,violet
violin,violon
virus,virus
visit,visite
vocational school/technical college,lycée d’enseignement professionel/LEP
voice mail,messagerie vocale
volcano,volcan
volleyball,volley
voluntarily/without pay,bénévolement
voluntary work,travail volontaire
volunteer,volontaire
wait (formal),patientez
waiter/waitress,serveur/serveuse
waiting period/time limit,délai
waiting room,salle d’attente
waiting time,délai
Wales,Pays de Galles
wallet,portefeuille
war,guerre
wash basin,lavabo
waste of time,perte de temps
watch,montre
water,eau
water skiing,ski nautique
way (manner),façon
way out/exit,sortie
weak,faible
weak/bad at (subject),faible/mauvais/mauvaise
weather,temps
weather forecast,prévisions météo
weather report,météo
web,toile/web
web page,page web
webcam,webcam
webmail,web-mail
website,site internet/site web
Wednesday,mercredi
week,semaine
weekend,week-end/fin de semaine
weight,poids
welcome,accueil
well,bien
well behaved,sage
well paid,bien payé
well-balanced,équilibré
well-cooked,bien cuit
Welsh,gallois
west,ouest
wet,mouillé
what colour?,de quelle couleur?
what does that mean?,qu’est-ce que cela veut dire?
what like?,comment?
what/which?,quel?/quelle?
what?,que?/quoi?
what? (as object),qu’est-ce que?
what? (as subject),qu’est-ce qui?
when?,quand?
where?,où?
which one?,lequel?/laquelle?/lesquels?/lesquelles?
white,blanc/blanche
who?,qui?
why?,pourquoi?
wife/woman,femme
wind,vent
window,fenêtre
windsurfing,planche à voile
wine,vin
winter holidays,vacances d’hiver
winter/skiing holiday,vacances de neige
wise,sage
with,avec
with pleasure,avec plaisir/volontiers
without,sans
woollen,en laine
word processing,traitement de texte
work,travail
work (informal),boulot
worksheet,fiche de travail
world,monde
world cup,coupe du monde
worried,inquiet/inquiète
wrong number,faux numéro/mauvais numéro/numéro erroné
year 10,troisième
year 11,seconde
year 12,première
year 13,terminale
year 7,sixième
year 8,cinquième
year 9,quatrième
yellow,jaune
yoghurt,yaourt
young,jeune
youth club,club des jeunes/maison des jeunes
youth hostel,auberge de jeunesse
TRUE,vrai
