setName,headerName,verbList
Beginner,Study Sets,accompagner+accuser+bouillir+agir+agacer+ajouter+adresser+boire+choisir+continuer+accepter+coucher+comprendre+commander+devenir+effrayer+espérer+fermer+gagner+habiter+adorer+acheter+aider+aimer+aller+arriver+amuser+avoir+faire+jouer+penser+passer+rester+sembler+sortir+visiter+voyager+écouter+manger+nager+regarder+réussir+vendre+venir+danser
Intermediate,Study Sets,acquérir+accueillir+abstenir+céder+conseiller+connaître+gâter+frémir+hésiter+introduire+interdire+jaser+lire+mentir+négliger+ouvrir+percevoir+pouvoir+vouloir+quérir+rassurer+rêver+savoir+accompagner+accuser+bouillir+agir+agacer+ajouter+adresser+boire+choisir+continuer+accepter+coucher+comprendre+commander+devenir+effrayer+espérer+fermer+gagner+habiter+adorer+acheter+aider+aimer+aller+arriver+amuser+avoir+faire+jouer+penser+passer+rester+sembler+sortir+visiter+voyager+écouter+manger+nager+regarder+réussir+vendre+venir+danser
Advanced,Study Sets,accourir+admettre+abaisser+souhaiter+suggérer+vieillir+abasourdir+assaillir+augmenter+circonscrire+chuchoter+craindre+déchirer+déduire+écraser+énoncer+faiblir+geindre+interrompre+mépriser+acquérir+accueillir+abstenir+céder+conseiller+connaître+gâter+frémir+hésiter+introduire+interdire+jaser+lire+mentir+négliger+ouvrir+percevoir+pouvoir+vouloir+quérir+rassurer+rêver+savoir+accompagner+accuser+bouillir+agir+agacer+ajouter+adresser+boire+choisir+continuer+accepter+coucher+comprendre+commander+devenir+effrayer+espérer+fermer+gagner+habiter+adorer+acheter+aider+aimer+aller+arriver+amuser+avoir+faire+jouer+penser+passer+rester+sembler+sortir+visiter+voyager+écouter+manger+nager+regarder+réussir+vendre+venir+danser
Master,Study Sets,absoudre+valoir+culpabiliser+reconstruire+riposter+saisir+susciter+tressaillir+zézayer+prescrire+posséder+noircir+maigrir+klaxonner+jaillir+gêner+gaspiller+éprouver+enfreindre+disparaître+désobéir+accourir+admettre+abaisser+souhaiter+suggérer+vieillir+abasourdir+assaillir+augmenter+circonscrire+chuchoter+craindre+déchirer+déduire+écraser+énoncer+faiblir+geindre+interrompre+mépriser+acquérir+accueillir+abstenir+céder+conseiller+connaître+gâter+frémir+hésiter+introduire+interdire+jaser+lire+mentir+négliger+ouvrir+percevoir+pouvoir+vouloir+quérir+rassurer+rêver+savoir+accompagner+accuser+bouillir+agir+agacer+ajouter+adresser+boire+choisir+continuer+accepter+coucher+comprendre+commander+devenir+effrayer+espérer+fermer+gagner+habiter+adorer+acheter+aider+aimer+aller+arriver+amuser+avoir+faire+jouer+penser+passer+rester+sembler+sortir+visiter+voyager+écouter+manger+nager+regarder+réussir+vendre+venir+danser
Identity and culture,Module Sets,agacer+disputer+assister+appeler+copier+garder+fêter+discuter+bavarder+féliciter+danser+désavantager+télécharger+effacer+expérimenter+pêcher+divorcer+se marier+entendre+charger+commander+payer+harceler+respecter+ressembler+sauvegarder+marquer+séparer+servir+tirer+soutenir+nager+promener+participer+goûter+remercier+entrainer+taper+mettre+servir
Local area/ holiday and travel,Module Sets,embarquer+freiner+doubler+éteindre+allumer+composter+éclaircir+rapporter+ramener+plaindre+livrer+échanger+geler+garantir+grêler+louer+assurer+défaire+payer+loger+pleuvoir+réparer+remplacer+rendre+briller+neiger+séjourner+fonctionner
School,Module Sets,accepter+calculer+corriger+écrire+améliorer+perfectionner+réussir+pratiquer+prononcer+répéter+redoubler+réviser+épeler+enseigner+traduire+travailler
Future aspirations/ study and work,Module Sets,adresser+postuler+joindre+classer+remplir+présenter+organiser+imprimer+étudier+taper+inscrire
International and global dimension,Module Sets,bénéficier+contaminer+mourir+manquer+vivre+polluer+protéger+recycler+économiser+sauvegarder+sauver+trier+rester+survivre+menacer
Common verbs,Extra Sets,être+avoir+pouvoir+faire+mettre+dire+devoir+prendre+donner+aller+vouloir+savoir+falloir+voir+demander+trouver+rendre+venir+passer+comprendre+rester+tenir+porter+parler+montrer+continuer+penser+suivre+connaître+croire+commencer+compter+entendre+attendre+remettre+appeler+permettre+occuper+devenir+partir+décider+arriver+servir+sembler+revenir+laisser+recevoir+répondre+vivre+rappeler
Irregular verbs,Extra Sets,abattre+absoudre+abstenir+accourir+accueillir+acquérir+adjoindre+admettre+advenir+aller+apercevoir+apparaître+appartenir+apprendre+assaillir+asseoir+astreindre+atteindre+attendre+avoir+battre+boire+bouillir+ceindre+circoncire+circonscrire+circonvenir+clore+combattre+commettre+comparaître+comprendre+concevoir+conclure+concourir+conduire+confire+confondre+conjoindre+connaître+conquérir+consentir+construire+contenir+contraindre+contredire+contrevenir+convaincre+convenir+correspondre+corrompre+coudre+courir+couvrir+craindre+croire+cueillir+cuire+débattre+décevoir+déconfire+découdre+découvrir+décrire+dédire+déduire+défaillir+défaire+défendre+départir+dépeindre+dépendre+déplaire+descendre+déteindre+détenir+détruire+devenir+dévêtir+devoir+dire+discourir+disjoindre+disparaître+dissoudre+dormir+éclore+éconduire+écrire+élire+empreindre+enclore+encourir+endormir+enduire+enfreindre+enjoindre+entendre+entreprendre+entretenir+entrouvrir+équivaloir+éteindre+étendre+être+étreindre+exclure+faillir+faire+falloir+feindre+fendre+fondre+frire+fuir+geindre+inclure+induire+inscrire+instruire+interdire+interrompre+intervenir+introduire+joindre+lire+luire+maintenir+maudire+méconnaître+médire+mentir+méprendre+mettre+mordre+moudre+mourir+naître+nuire+obtenir+occlure+offrir+oindre+omettre+ouvrir+paraître+parcourir+partir+parvenir+peindre+pendre+percevoir+perdre+permettre+plaindre+plaire+pleuvoir+poindre+pondre+poursuivre+pouvoir+prédire+prendre+prescrire+pressentir+prétendre+prévenir+prévoir+produire+promettre+proscrire+provenir+quérir+recevoir+reconduire+reconnaître+reconstruire+recoudre+recourir+recouvrir+récrire+recueillir+redire+réduire+réélire+refaire+saillir+satisfaire+savoir+teindre+tendre+tenir+tondre+tordre+traduire+transcrire+transmettre+transparaître+tressaillir+vaincre+valoir+vendre+venir+vêtir+vivre+voir+vouloir+vouvoyer+zébrer